station_code,station_name,year,horizon,horizon_hours,predictor,total_rows,target_available_samples,predictor_available_samples,usable_samples,usable_pct
1431A,JQLH,2016,30d,720,U10,8784,8208,8784,8208,93.44262295081968
1431A,JQLH,2017,30d,720,U10,8760,8318,8760,8318,94.95433789954339
1431A,JQLH,2018,30d,720,U10,8760,7560,8760,7560,86.3013698630137
1431A,JQLH,2019,30d,720,U10,8760,7918,8760,7918,90.38812785388129
1431A,JQLH,2020,30d,720,U10,8784,7965,8784,7965,90.67622950819673
1431A,JQLH,2021,30d,720,U10,8049,6856,8048,6855,85.16585911293329
1431A,JQLH,2015,30d,720,V10,8760,7633,8753,7633,87.13470319634703
1431A,JQLH,2016,30d,720,V10,8784,8208,8784,8208,93.44262295081968
1431A,JQLH,2017,30d,720,V10,8760,8318,8760,8318,94.95433789954339
1431A,JQLH,2018,30d,720,V10,8760,7560,8760,7560,86.3013698630137
1431A,JQLH,2019,30d,720,V10,8760,7918,8760,7918,90.38812785388129
1431A,JQLH,2020,30d,720,V10,8784,7965,8784,7965,90.67622950819673
1431A,JQLH,2021,30d,720,V10,8049,6856,8048,6855,85.16585911293329
1431A,JQLH,2015,30d,720,T2,8760,7633,8753,7633,87.13470319634703
1431A,JQLH,2016,30d,720,T2,8784,8208,8784,8208,93.44262295081968
1431A,JQLH,2017,30d,720,T2,8760,8318,8760,8318,94.95433789954339
1431A,JQLH,2018,30d,720,T2,8760,7560,8760,7560,86.3013698630137
1431A,JQLH,2019,30d,720,T2,8760,7918,8760,7918,90.38812785388129
1431A,JQLH,2020,30d,720,T2,8784,7965,8784,7965,90.67622950819673
