station_code,station_name,year,rows,variable,missing_count,missing_pct
1437A,JPJ,2015,8760,NO2,634,7.237442922374429
1437A,JPJ,2015,8760,O3-8h,608,6.940639269406393
1437A,JPJ,2015,8760,CO,599,6.837899543378996
1437A,JPJ,2015,8760,U10,7,0.07990867579908677
1437A,JPJ,2015,8760,V10,7,0.07990867579908677
1437A,JPJ,2015,8760,T2,7,0.07990867579908677
1437A,JPJ,2015,8760,RH2,7,0.07990867579908677
1437A,JPJ,2015,8760,PBLH,7,0.07990867579908677
1437A,JPJ,2016,8784,AQI,227,2.5842440801457194
1437A,JPJ,2016,8784,PM2.5,228,2.5956284153005464
1437A,JPJ,2016,8784,PM10,288,3.278688524590164
1437A,JPJ,2016,8784,SO2,232,2.6411657559198543
1437A,JPJ,2016,8784,NO2,241,2.743624772313297
1437A,JPJ,2016,8784,O3-8h,228,2.5956284153005464
1437A,JPJ,2016,8784,CO,232,2.6411657559198543
1437A,JPJ,2016,8784,U10,0,0.0
1437A,JPJ,2016,8784,V10,0,0.0
1437A,JPJ,2016,8784,T2,0,0.0
1437A,JPJ,2016,8784,RH2,0,0.0
1437A,JPJ,2016,8784,PBLH,0,0.0
1437A,JPJ,2017,8760,AQI,244,2.7853881278538815
1437A,JPJ,2017,8760,PM2.5,250,2.853881278538813
1437A,JPJ,2017,8760,PM10,349,3.9840182648401825
1437A,JPJ,2017,8760,SO2,251,2.865296803652968
1437A,JPJ,2017,8760,NO2,256,2.922374429223744
1437A,JPJ,2017,8760,O3-8h,226,2.5799086757990866
1437A,JPJ,2017,8760,CO,265,3.0251141552511416
1437A,JPJ,2017,8760,U10,0,0.0
1437A,JPJ,2017,8760,V10,0,0.0
1437A,JPJ,2017,8760,T2,0,0.0
1437A,JPJ,2017,8760,RH2,0,0.0
1437A,JPJ,2017,8760,PBLH,0,0.0
1437A,JPJ,2018,8760,AQI,584,6.666666666666667
1437A,JPJ,2018,8760,PM2.5,594,6.780821917808219
1437A,JPJ,2018,8760,PM10,644,7.351598173515981
1437A,JPJ,2018,8760,SO2,621,7.089041095890411
1437A,JPJ,2018,8760,NO2,637,7.271689497716895
1437A,JPJ,2018,8760,O3-8h,600,6.8493150684931505
1437A,JPJ,2018,8760,CO,635,7.248858447488585
1437A,JPJ,2018,8760,U10,0,0.0
1437A,JPJ,2018,8760,V10,0,0.0
1437A,JPJ,2018,8760,T2,0,0.0
1437A,JPJ,2018,8760,RH2,0,0.0
1437A,JPJ,2018,8760,PBLH,0,0.0
1437A,JPJ,2019,8760,AQI,436,4.9771689497716896
1437A,JPJ,2019,8760,PM2.5,477,5.445205479452055
1437A,JPJ,2019,8760,PM10,546,6.232876712328768
1437A,JPJ,2019,8760,SO2,421,4.805936073059361
1437A,JPJ,2019,8760,NO2,450,5.136986301369863
1437A,JPJ,2019,8760,O3-8h,423,4.828767123287672
1437A,JPJ,2019,8760,CO,439,5.011415525114155
1437A,JPJ,2019,8760,U10,0,0.0
1437A,JPJ,2019,8760,V10,0,0.0
1437A,JPJ,2019,8760,T2,0,0.0
1437A,JPJ,2019,8760,RH2,0,0.0
1437A,JPJ,2019,8760,PBLH,0,0.0
1437A,JPJ,2020,8784,AQI,400,4.553734061930783
1437A,JPJ,2020,8784,PM2.5,232,2.6411657559198543
1437A,JPJ,2020,8784,PM10,238,2.709471766848816
1437A,JPJ,2020,8784,SO2,264,3.0054644808743167
1437A,JPJ,2020,8784,NO2,273,3.1079234972677594
1437A,JPJ,2020,8784,O3-8h,223,2.5387067395264116
1437A,JPJ,2020,8784,CO,283,3.2217668488160296
1437A,JPJ,2020,8784,U10,0,0.0
1437A,JPJ,2020,8784,V10,0,0.0
1437A,JPJ,2020,8784,T2,0,0.0
1437A,JPJ,2020,8784,RH2,0,0.0
1437A,JPJ,2020,8784,PBLH,0,0.0
1437A,JPJ,2021,8049,AQI,350,4.348366256677848
1437A,JPJ,2021,8049,PM2.5,194,2.410237296558579
1437A,JPJ,2021,8049,PM10,187,2.3232699714250216
1437A,JPJ,2021,8049,SO2,201,2.4972046216921355
1437A,JPJ,2021,8049,NO2,227,2.8202261150453474
1437A,JPJ,2021,8049,O3-8h,138,1.714498695490123
1437A,JPJ,2021,8049,CO,207,2.5717480432351847
1437A,JPJ,2021,8049,U10,1,0.012423903590508137
1437A,JPJ,2021,8049,V10,1,0.012423903590508137
1437A,JPJ,2021,8049,T2,1,0.012423903590508137
1437A,JPJ,2021,8049,RH2,0,0.0
1437A,JPJ,2021,8049,PBLH,1,0.012423903590508137
1438A,LYS,2015,8760,AQI,644,7.351598173515981
1438A,LYS,2015,8760,PM2.5,666,7.602739726027398
1438A,LYS,2015,8760,PM10,736,8.401826484018265
1438A,LYS,2015,8760,SO2,658,7.511415525114155
1438A,LYS,2015,8760,NO2,645,7.363013698630137
1438A,LYS,2015,8760,O3-8h,659,7.522831050228311
1438A,LYS,2015,8760,CO,668,7.625570776255708
1438A,LYS,2015,8760,U10,7,0.07990867579908677
1438A,LYS,2015,8760,V10,7,0.07990867579908677
1438A,LYS,2015,8760,T2,7,0.07990867579908677
1438A,LYS,2015,8760,RH2,7,0.07990867579908677
1438A,LYS,2015,8760,PBLH,7,0.07990867579908677
1438A,LYS,2016,8784,AQI,782,8.902550091074682
1438A,LYS,2016,8784,PM2.5,779,8.868397085610201
1438A,LYS,2016,8784,PM10,856,9.744990892531877
1438A,LYS,2016,8784,SO2,781,8.891165755919854
1438A,LYS,2016,8784,NO2,776,8.83424408014572
1438A,LYS,2016,8784,O3-8h,776,8.83424408014572
1438A,LYS,2016,8784,CO,792,9.01639344262295
1438A,LYS,2016,8784,U10,0,0.0
1438A,LYS,2016,8784,V10,0,0.0
1438A,LYS,2016,8784,T2,0,0.0
1438A,LYS,2016,8784,RH2,0,0.0
1438A,LYS,2016,8784,PBLH,0,0.0
1438A,LYS,2017,8760,AQI,412,4.703196347031963
1438A,LYS,2017,8760,PM2.5,441,5.034246575342466
1438A,LYS,2017,8760,PM10,609,6.952054794520548
1438A,LYS,2017,8760,SO2,408,4.657534246575342
1438A,LYS,2017,8760,NO2,406,4.634703196347032
1438A,LYS,2017,8760,O3-8h,410,4.680365296803653
1438A,LYS,2017,8760,CO,720,8.21917808219178
1438A,LYS,2017,8760,U10,0,0.0
1438A,LYS,2017,8760,V10,0,0.0
1438A,LYS,2017,8760,T2,0,0.0
1438A,LYS,2017,8760,RH2,0,0.0
1438A,LYS,2017,8760,PBLH,0,0.0
1438A,LYS,2018,8760,AQI,1130,12.899543378995434
1438A,LYS,2018,8760,PM2.5,1262,14.406392694063927
1438A,LYS,2018,8760,PM10,1411,16.10730593607306
1438A,LYS,2018,8760,SO2,1054,12.031963470319635
1438A,LYS,2018,8760,NO2,1042,11.894977168949772
1438A,LYS,2018,8760,O3-8h,1024,11.689497716894977
1438A,LYS,2018,8760,CO,1331,15.19406392694064
1438A,LYS,2018,8760,U10,0,0.0
1438A,LYS,2018,8760,V10,0,0.0
1438A,LYS,2018,8760,T2,0,0.0
1438A,LYS,2018,8760,RH2,0,0.0
1438A,LYS,2018,8760,PBLH,0,0.0
1438A,LYS,2019,8760,AQI,896,10.228310502283106
1438A,LYS,2019,8760,PM2.5,919,10.490867579908675
1438A,LYS,2019,8760,PM10,1071,12.226027397260273
1438A,LYS,2019,8760,SO2,881,10.057077625570777
1438A,LYS,2019,8760,NO2,843,9.623287671232877
1438A,LYS,2019,8760,O3-8h,774,8.835616438356164
1438A,LYS,2019,8760,CO,1203,13.732876712328768
1438A,LYS,2019,8760,U10,0,0.0
1438A,LYS,2019,8760,V10,0,0.0
1438A,LYS,2019,8760,T2,0,0.0
1438A,LYS,2019,8760,RH2,0,0.0
1438A,LYS,2019,8760,PBLH,0,0.0
1438A,LYS,2020,8784,AQI,787,8.959471766848816
1438A,LYS,2020,8784,PM2.5,685,7.798269581056466
1438A,LYS,2020,8784,PM10,635,7.229052823315119
1438A,LYS,2020,8784,SO2,632,7.194899817850637
1438A,LYS,2020,8784,NO2,614,6.989981785063752
1438A,LYS,2020,8784,O3-8h,573,6.523224043715848
1438A,LYS,2020,8784,CO,709,8.071493624772314
1438A,LYS,2020,8784,U10,0,0.0
1438A,LYS,2020,8784,V10,0,0.0
1438A,LYS,2020,8784,T2,0,0.0
1438A,LYS,2020,8784,RH2,0,0.0
1438A,LYS,2020,8784,PBLH,0,0.0
1438A,LYS,2021,8049,AQI,831,10.324263883712263
1438A,LYS,2021,8049,PM2.5,597,7.417070443533358
1438A,LYS,2021,8049,PM10,601,7.466766057895391
1438A,LYS,2021,8049,SO2,608,7.5537333830289475
1438A,LYS,2021,8049,NO2,592,7.354950925580818
1438A,LYS,2021,8049,O3-8h,515,6.398310349111691
1438A,LYS,2021,8049,CO,704,8.746428127717728
1438A,LYS,2021,8049,U10,1,0.012423903590508137
1438A,LYS,2021,8049,V10,1,0.012423903590508137
1438A,LYS,2021,8049,T2,1,0.012423903590508137
1438A,LYS,2021,8049,RH2,0,0.0
1438A,LYS,2021,8049,PBLH,1,0.012423903590508137
