station_code,station_name,year,horizon,horizon_hours,total_rows,usable_samples,unusable_samples,usable_pct
3358A,LJL,2017,72h,72,8760,8333,427,95.12557077625571
3358A,LJL,2018,72h,72,8760,7655,1105,87.38584474885845
3358A,LJL,2019,72h,72,8760,7924,836,90.4566210045662
3358A,LJL,2020,72h,72,8784,8471,313,96.43670309653916
3358A,LJL,2021,72h,72,8049,7436,613,92.3841470990185
3358A,LJL,2015,7d,168,8760,7273,1487,83.02511415525115
3358A,LJL,2016,7d,168,8784,7967,817,90.69899817850637
3358A,LJL,2017,7d,168,8760,8337,423,95.17123287671232
3358A,LJL,2018,7d,168,8760,7555,1205,86.24429223744292
3358A,LJL,2019,7d,168,8760,7944,816,90.68493150684932
3358A,LJL,2020,7d,168,8784,8430,354,95.96994535519126
3358A,LJL,2021,7d,168,8049,7381,668,91.70083240154057
3358A,LJL,2015,14d,336,8760,7306,1454,83.40182648401826
3358A,LJL,2016,14d,336,8784,7961,823,90.63069216757741
3358A,LJL,2017,14d,336,8760,8331,429,95.1027397260274
3358A,LJL,2018,14d,336,8760,7516,1244,85.79908675799088
3358A,LJL,2019,14d,336,8760,7907,853,90.26255707762557
3358A,LJL,2020,14d,336,8784,8418,366,95.83333333333334
3358A,LJL,2021,14d,336,8049,7236,813,89.89936638091687
3358A,LJL,2015,30d,720,8760,7292,1468,83.2420091324201
3358A,LJL,2016,30d,720,8784,7962,822,90.64207650273224
3358A,LJL,2017,30d,720,8760,8325,435,95.03424657534246
3358A,LJL,2018,30d,720,8760,7489,1271,85.49086757990868
3358A,LJL,2019,30d,720,8760,7936,824,90.59360730593608
3358A,LJL,2020,30d,720,8784,8401,383,95.63979963570127
3358A,LJL,2021,30d,720,8049,6893,1156,85.6379674493726
